"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","614","API Setup: authenticate via API","api-setup","Sun Apr 12 03:14:11 UTC 2026","passed","Sun Apr 12 03:14:12 UTC 2026","","setup/api-auth.setup.ts","",""
"","5","Global Setup: prepare environment","global-setup","Sun Apr 12 03:14:10 UTC 2026","passed","Sun Apr 12 03:14:10 UTC 2026","","setup/global.setup.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Sun Apr 12 03:14:27 UTC 2026","passed","Sun Apr 12 03:14:27 UTC 2026","","teardown/global.teardown.ts","",""
"","425","SQ-XXX: should access user info via API with session token","smoke","Sun Apr 12 03:14:24 UTC 2026","passed","Sun Apr 12 03:14:25 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","1441","SQ-XXX: should load dashboard with authenticated session","smoke","Sun Apr 12 03:14:23 UTC 2026","passed","Sun Apr 12 03:14:24 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","125","SQ-XXX: should get current user with valid token","smoke","Sun Apr 12 03:14:25 UTC 2026","passed","Sun Apr 12 03:14:25 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","111","SQ-XXX: should fail without token","smoke","Sun Apr 12 03:14:25 UTC 2026","passed","Sun Apr 12 03:14:25 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3998","SQ-90: TC1: Should create client with valid data","smoke","Sun Apr 12 03:14:17 UTC 2026","failed","Sun Apr 12 03:14:21 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","2609","UI Setup: authenticate via UI","ui-setup","Sun Apr 12 03:14:13 UTC 2026","passed","Sun Apr 12 03:14:16 UTC 2026","","setup/ui-auth.setup.ts","",""
"","314","SQ-XXX: should be able to re-authenticate","smoke","Sun Apr 12 03:14:25 UTC 2026","passed","Sun Apr 12 03:14:25 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
