"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","295","SQ-XXX: should be able to re-authenticate","smoke","Fri May 15 03:19:20 UTC 2026","passed","Fri May 15 03:19:20 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Fri May 15 03:19:21 UTC 2026","passed","Fri May 15 03:19:21 UTC 2026","","teardown/global.teardown.ts","",""
"","98","SQ-XXX: should fail without token","smoke","Fri May 15 03:19:19 UTC 2026","passed","Fri May 15 03:19:20 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3211","SQ-90: TC1: Should create client with valid data","smoke","Fri May 15 03:19:12 UTC 2026","failed","Fri May 15 03:19:15 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","1799","SQ-XXX: should load dashboard with authenticated session","smoke","Fri May 15 03:19:17 UTC 2026","passed","Fri May 15 03:19:19 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","108","SQ-XXX: should get current user with valid token","smoke","Fri May 15 03:19:19 UTC 2026","passed","Fri May 15 03:19:19 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3643","UI Setup: authenticate via UI","ui-setup","Fri May 15 03:19:06 UTC 2026","passed","Fri May 15 03:19:10 UTC 2026","","setup/ui-auth.setup.ts","",""
"","548","SQ-XXX: should access user info via API with session token","smoke","Fri May 15 03:19:19 UTC 2026","passed","Fri May 15 03:19:19 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","8","Global Setup: prepare environment","global-setup","Fri May 15 03:19:03 UTC 2026","passed","Fri May 15 03:19:03 UTC 2026","","setup/global.setup.ts","",""
"","705","API Setup: authenticate via API","api-setup","Fri May 15 03:19:04 UTC 2026","passed","Fri May 15 03:19:05 UTC 2026","","setup/api-auth.setup.ts","",""
