"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","237","SQ-XXX: should be able to re-authenticate","smoke","Mon Apr 06 03:14:42 UTC 2026","passed","Mon Apr 06 03:14:42 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","557","API Setup: authenticate via API","api-setup","Mon Apr 06 03:14:29 UTC 2026","passed","Mon Apr 06 03:14:29 UTC 2026","","setup/api-auth.setup.ts","",""
"","2592","UI Setup: authenticate via UI","ui-setup","Mon Apr 06 03:14:30 UTC 2026","passed","Mon Apr 06 03:14:33 UTC 2026","","setup/ui-auth.setup.ts","",""
"","5","Global Teardown: generate reports and sync TMS","global-teardown","Mon Apr 06 03:14:43 UTC 2026","passed","Mon Apr 06 03:14:43 UTC 2026","","teardown/global.teardown.ts","",""
"","6","Global Setup: prepare environment","global-setup","Mon Apr 06 03:14:27 UTC 2026","passed","Mon Apr 06 03:14:27 UTC 2026","","setup/global.setup.ts","",""
"","2700","SQ-90: TC1: Should create client with valid data","smoke","Mon Apr 06 03:14:35 UTC 2026","failed","Mon Apr 06 03:14:38 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","71","SQ-XXX: should fail without token","smoke","Mon Apr 06 03:14:42 UTC 2026","passed","Mon Apr 06 03:14:42 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","1311","SQ-XXX: should load dashboard with authenticated session","smoke","Mon Apr 06 03:14:40 UTC 2026","passed","Mon Apr 06 03:14:41 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","72","SQ-XXX: should get current user with valid token","smoke","Mon Apr 06 03:14:42 UTC 2026","passed","Mon Apr 06 03:14:42 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","362","SQ-XXX: should access user info via API with session token","smoke","Mon Apr 06 03:14:41 UTC 2026","passed","Mon Apr 06 03:14:41 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
