"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","Global Teardown: generate reports and sync TMS","global-teardown","Sat Mar 28 03:10:00 UTC 2026","passed","Sat Mar 28 03:10:00 UTC 2026","","teardown/global.teardown.ts","",""
"","113","SQ-XXX: should fail without token","smoke","Sat Mar 28 03:09:58 UTC 2026","passed","Sat Mar 28 03:09:58 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","498","SQ-XXX: should access user info via API with session token","smoke","Sat Mar 28 03:09:58 UTC 2026","passed","Sat Mar 28 03:09:58 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","724","API Setup: authenticate via API","api-setup","Sat Mar 28 03:09:44 UTC 2026","passed","Sat Mar 28 03:09:45 UTC 2026","","setup/api-auth.setup.ts","",""
"","3655","SQ-90: TC1: Should create client with valid data","smoke","Sat Mar 28 03:09:52 UTC 2026","passed","Sat Mar 28 03:09:56 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","299","SQ-XXX: should be able to re-authenticate","smoke","Sat Mar 28 03:09:58 UTC 2026","passed","Sat Mar 28 03:09:59 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","108","SQ-XXX: should get current user with valid token","smoke","Sat Mar 28 03:09:58 UTC 2026","passed","Sat Mar 28 03:09:58 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","4355","UI Setup: authenticate via UI","ui-setup","Sat Mar 28 03:09:46 UTC 2026","passed","Sat Mar 28 03:09:51 UTC 2026","","setup/ui-auth.setup.ts","",""
"","5","Global Setup: prepare environment","global-setup","Sat Mar 28 03:09:43 UTC 2026","passed","Sat Mar 28 03:09:43 UTC 2026","","setup/global.setup.ts","",""
"","1557","SQ-XXX: should load dashboard with authenticated session","smoke","Sat Mar 28 03:09:56 UTC 2026","passed","Sat Mar 28 03:09:58 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
