"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60","SQ-XXX: should get current user with valid token","smoke","2026-07-04","passed","2026-07-04","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","2349","SQ-90: TC1: Should create client with valid data","smoke","2026-07-04","failed","2026-07-04","Create Client","e2e/clients/createClient.test.ts","",""
"","40","SQ-XXX: should fail without token","smoke","2026-07-04","passed","2026-07-04","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3","Global Teardown: generate reports and sync TMS","global-teardown","2026-07-04","passed","2026-07-04","","teardown/global.teardown.ts","",""
"","520","API Setup: authenticate via API","api-setup","2026-07-04","passed","2026-07-04","","setup/api-auth.setup.ts","",""
"","4","Global Setup: prepare environment","global-setup","2026-07-04","passed","2026-07-04","","setup/global.setup.ts","",""
"","1170","SQ-XXX: should load dashboard with authenticated session","smoke","2026-07-04","passed","2026-07-04","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","177","SQ-XXX: should be able to re-authenticate","smoke","2026-07-04","passed","2026-07-04","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","293","SQ-XXX: should access user info via API with session token","smoke","2026-07-04","passed","2026-07-04","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","2473","UI Setup: authenticate via UI","ui-setup","2026-07-04","passed","2026-07-04","","setup/ui-auth.setup.ts","",""
