"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","350","SQ-XXX: should access user info via API with session token","smoke","Wed Apr 22 03:14:22 UTC 2026","passed","Wed Apr 22 03:14:22 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","464","API Setup: authenticate via API","api-setup","Wed Apr 22 03:14:07 UTC 2026","passed","Wed Apr 22 03:14:08 UTC 2026","","setup/api-auth.setup.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Wed Apr 22 03:14:23 UTC 2026","passed","Wed Apr 22 03:14:23 UTC 2026","","teardown/global.teardown.ts","",""
"","43","SQ-XXX: should fail without token","smoke","Wed Apr 22 03:14:22 UTC 2026","passed","Wed Apr 22 03:14:22 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","47","SQ-XXX: should get current user with valid token","smoke","Wed Apr 22 03:14:22 UTC 2026","passed","Wed Apr 22 03:14:22 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","6","Global Setup: prepare environment","global-setup","Wed Apr 22 03:14:06 UTC 2026","passed","Wed Apr 22 03:14:06 UTC 2026","","setup/global.setup.ts","",""
"","186","SQ-XXX: should be able to re-authenticate","smoke","Wed Apr 22 03:14:22 UTC 2026","passed","Wed Apr 22 03:14:22 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3324","SQ-90: TC1: Should create client with valid data","smoke","Wed Apr 22 03:14:16 UTC 2026","failed","Wed Apr 22 03:14:19 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","1214","SQ-XXX: should load dashboard with authenticated session","smoke","Wed Apr 22 03:14:20 UTC 2026","passed","Wed Apr 22 03:14:22 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3661","UI Setup: authenticate via UI","ui-setup","Wed Apr 22 03:14:09 UTC 2026","passed","Wed Apr 22 03:14:13 UTC 2026","","setup/ui-auth.setup.ts","",""
