"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","131","SQ-XXX: should fail without token","integration","Wed Apr 22 00:09:13 UTC 2026","passed","Wed Apr 22 00:09:13 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3","Global Setup: prepare environment","global-setup","Wed Apr 22 00:09:53 UTC 2026","passed","Wed Apr 22 00:09:53 UTC 2026","","setup/global.setup.ts","",""
"","330","SQ-XXX: should be able to re-authenticate","integration","Wed Apr 22 00:09:13 UTC 2026","passed","Wed Apr 22 00:09:13 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","4143","UI Setup: authenticate via UI","ui-setup","Wed Apr 22 00:09:54 UTC 2026","passed","Wed Apr 22 00:09:58 UTC 2026","","setup/ui-auth.setup.ts","",""
"","1125","SQ-XXX: should load dashboard with authenticated session","e2e","Wed Apr 22 00:10:05 UTC 2026","passed","Wed Apr 22 00:10:06 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","6","Global Teardown: generate reports and sync TMS","global-teardown","Wed Apr 22 00:10:07 UTC 2026","passed","Wed Apr 22 00:10:07 UTC 2026","","teardown/global.teardown.ts","",""
"","770","API Setup: authenticate via API","api-setup","Wed Apr 22 00:09:11 UTC 2026","passed","Wed Apr 22 00:09:11 UTC 2026","","setup/api-auth.setup.ts","",""
"","366","SQ-XXX: should get current user with valid token","integration","Wed Apr 22 00:09:12 UTC 2026","passed","Wed Apr 22 00:09:13 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","4046","SQ-90: TC1: Should create client with valid data","e2e","Wed Apr 22 00:09:59 UTC 2026","failed","Wed Apr 22 00:10:03 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","319","SQ-XXX: should access user info via API with session token","e2e","Wed Apr 22 00:10:06 UTC 2026","passed","Wed Apr 22 00:10:06 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
