"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","257","SQ-XXX: should be able to re-authenticate","integration","Fri May 01 00:16:09 UTC 2026","passed","Fri May 01 00:16:09 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3588","SQ-90: TC1: Should create client with valid data","e2e","Fri May 01 00:16:56 UTC 2026","failed","Fri May 01 00:17:00 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","310","SQ-XXX: should access user info via API with session token","e2e","Fri May 01 00:17:03 UTC 2026","passed","Fri May 01 00:17:03 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","5","Global Setup: prepare environment","global-setup","Fri May 01 00:16:50 UTC 2026","passed","Fri May 01 00:16:50 UTC 2026","","setup/global.setup.ts","",""
"","1361","SQ-XXX: should load dashboard with authenticated session","e2e","Fri May 01 00:17:01 UTC 2026","passed","Fri May 01 00:17:03 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3736","UI Setup: authenticate via UI","ui-setup","Fri May 01 00:16:51 UTC 2026","passed","Fri May 01 00:16:55 UTC 2026","","setup/ui-auth.setup.ts","",""
"","222","SQ-XXX: should get current user with valid token","integration","Fri May 01 00:16:09 UTC 2026","passed","Fri May 01 00:16:09 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","57","SQ-XXX: should fail without token","integration","Fri May 01 00:16:09 UTC 2026","passed","Fri May 01 00:16:09 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Fri May 01 00:17:04 UTC 2026","passed","Fri May 01 00:17:04 UTC 2026","","teardown/global.teardown.ts","",""
"","568","API Setup: authenticate via API","api-setup","Fri May 01 00:16:07 UTC 2026","passed","Fri May 01 00:16:07 UTC 2026","","setup/api-auth.setup.ts","",""
