"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Tue May 19 00:22:23 UTC 2026","passed","Tue May 19 00:22:23 UTC 2026","","teardown/global.teardown.ts","",""
"","1225","SQ-XXX: should load dashboard with authenticated session","e2e","Tue May 19 00:22:20 UTC 2026","passed","Tue May 19 00:22:21 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","106","SQ-XXX: should fail without token","integration","Tue May 19 00:21:28 UTC 2026","passed","Tue May 19 00:21:28 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","2798","SQ-90: TC1: Should create client with valid data","e2e","Tue May 19 00:22:16 UTC 2026","failed","Tue May 19 00:22:19 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","5","Global Setup: prepare environment","global-setup","Tue May 19 00:22:05 UTC 2026","passed","Tue May 19 00:22:05 UTC 2026","","setup/global.setup.ts","",""
"","352","SQ-XXX: should be able to re-authenticate","integration","Tue May 19 00:21:29 UTC 2026","passed","Tue May 19 00:21:29 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","560","API Setup: authenticate via API","api-setup","Tue May 19 00:21:26 UTC 2026","passed","Tue May 19 00:21:27 UTC 2026","","setup/api-auth.setup.ts","",""
"","245","SQ-XXX: should get current user with valid token","integration","Tue May 19 00:21:28 UTC 2026","passed","Tue May 19 00:21:28 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","7098","UI Setup: authenticate via UI","ui-setup","Tue May 19 00:22:07 UTC 2026","passed","Tue May 19 00:22:14 UTC 2026","","setup/ui-auth.setup.ts","",""
"","313","SQ-XXX: should access user info via API with session token","e2e","Tue May 19 00:22:21 UTC 2026","passed","Tue May 19 00:22:22 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
