"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","SQ-XXX: should get current user with valid token","smoke","Tue May 19 03:18:38 UTC 2026","passed","Tue May 19 03:18:38 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","536","API Setup: authenticate via API","api-setup","Tue May 19 03:18:25 UTC 2026","passed","Tue May 19 03:18:25 UTC 2026","","setup/api-auth.setup.ts","",""
"","4","Global Setup: prepare environment","global-setup","Tue May 19 03:18:24 UTC 2026","passed","Tue May 19 03:18:24 UTC 2026","","setup/global.setup.ts","",""
"","364","SQ-XXX: should access user info via API with session token","smoke","Tue May 19 03:18:38 UTC 2026","passed","Tue May 19 03:18:38 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","117","SQ-XXX: should fail without token","smoke","Tue May 19 03:18:38 UTC 2026","passed","Tue May 19 03:18:38 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","270","SQ-XXX: should be able to re-authenticate","smoke","Tue May 19 03:18:38 UTC 2026","passed","Tue May 19 03:18:39 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Tue May 19 03:18:40 UTC 2026","passed","Tue May 19 03:18:40 UTC 2026","","teardown/global.teardown.ts","",""
"","2836","UI Setup: authenticate via UI","ui-setup","Tue May 19 03:18:27 UTC 2026","passed","Tue May 19 03:18:30 UTC 2026","","setup/ui-auth.setup.ts","",""
"","3005","SQ-90: TC1: Should create client with valid data","smoke","Tue May 19 03:18:32 UTC 2026","failed","Tue May 19 03:18:35 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","1184","SQ-XXX: should load dashboard with authenticated session","smoke","Tue May 19 03:18:36 UTC 2026","passed","Tue May 19 03:18:38 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
