"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2877","SQ-90: TC1: Should create client with valid data","e2e","Tue Apr 21 00:13:25 UTC 2026","failed","Tue Apr 21 00:13:28 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Tue Apr 21 00:13:32 UTC 2026","passed","Tue Apr 21 00:13:32 UTC 2026","","teardown/global.teardown.ts","",""
"","312","SQ-XXX: should get current user with valid token","integration","Tue Apr 21 00:12:33 UTC 2026","passed","Tue Apr 21 00:12:33 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","275","SQ-XXX: should be able to re-authenticate","integration","Tue Apr 21 00:12:34 UTC 2026","passed","Tue Apr 21 00:12:34 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","91","SQ-XXX: should fail without token","integration","Tue Apr 21 00:12:33 UTC 2026","passed","Tue Apr 21 00:12:34 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","797","API Setup: authenticate via API","api-setup","Tue Apr 21 00:12:31 UTC 2026","passed","Tue Apr 21 00:12:32 UTC 2026","","setup/api-auth.setup.ts","",""
"","380","SQ-XXX: should access user info via API with session token","e2e","Tue Apr 21 00:13:31 UTC 2026","passed","Tue Apr 21 00:13:31 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","5","Global Setup: prepare environment","global-setup","Tue Apr 21 00:13:20 UTC 2026","passed","Tue Apr 21 00:13:20 UTC 2026","","setup/global.setup.ts","",""
"","2115","UI Setup: authenticate via UI","ui-setup","Tue Apr 21 00:13:21 UTC 2026","passed","Tue Apr 21 00:13:23 UTC 2026","","setup/ui-auth.setup.ts","",""
"","1493","SQ-XXX: should load dashboard with authenticated session","e2e","Tue Apr 21 00:13:29 UTC 2026","passed","Tue Apr 21 00:13:31 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
