"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3096","UI Setup: authenticate via UI","ui-setup","Thu May 07 03:18:00 UTC 2026","passed","Thu May 07 03:18:03 UTC 2026","","setup/ui-auth.setup.ts","",""
"","1425","SQ-XXX: should load dashboard with authenticated session","smoke","Thu May 07 03:18:09 UTC 2026","passed","Thu May 07 03:18:11 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","736","API Setup: authenticate via API","api-setup","Thu May 07 03:17:58 UTC 2026","passed","Thu May 07 03:17:59 UTC 2026","","setup/api-auth.setup.ts","",""
"","3116","SQ-90: TC1: Should create client with valid data","smoke","Thu May 07 03:18:05 UTC 2026","failed","Thu May 07 03:18:08 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Thu May 07 03:18:13 UTC 2026","passed","Thu May 07 03:18:13 UTC 2026","","teardown/global.teardown.ts","",""
"","355","SQ-XXX: should be able to re-authenticate","smoke","Thu May 07 03:18:11 UTC 2026","passed","Thu May 07 03:18:12 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","108","SQ-XXX: should fail without token","smoke","Thu May 07 03:18:11 UTC 2026","passed","Thu May 07 03:18:11 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","146","SQ-XXX: should get current user with valid token","smoke","Thu May 07 03:18:11 UTC 2026","passed","Thu May 07 03:18:11 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","424","SQ-XXX: should access user info via API with session token","smoke","Thu May 07 03:18:11 UTC 2026","passed","Thu May 07 03:18:11 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","4","Global Setup: prepare environment","global-setup","Thu May 07 03:17:57 UTC 2026","passed","Thu May 07 03:17:57 UTC 2026","","setup/global.setup.ts","",""
