"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2779","SQ-90: TC1: Should create client with valid data","e2e","Sat Mar 28 00:06:33 UTC 2026","passed","Sat Mar 28 00:06:35 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","2362","UI Setup: authenticate via UI","ui-setup","Sat Mar 28 00:06:27 UTC 2026","passed","Sat Mar 28 00:06:30 UTC 2026","","setup/ui-auth.setup.ts","",""
"","5","Global Teardown: generate reports and sync TMS","global-teardown","Sat Mar 28 00:06:38 UTC 2026","passed","Sat Mar 28 00:06:38 UTC 2026","","teardown/global.teardown.ts","",""
"","283","SQ-XXX: should access user info via API with session token","e2e","Sat Mar 28 00:06:37 UTC 2026","passed","Sat Mar 28 00:06:37 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","4","Global Setup: prepare environment","global-setup","Sat Mar 28 00:06:26 UTC 2026","passed","Sat Mar 28 00:06:26 UTC 2026","","setup/global.setup.ts","",""
"","116","SQ-XXX: should fail without token","integration","Sat Mar 28 00:05:37 UTC 2026","passed","Sat Mar 28 00:05:37 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","1203","SQ-XXX: should load dashboard with authenticated session","e2e","Sat Mar 28 00:06:36 UTC 2026","passed","Sat Mar 28 00:06:37 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","731","API Setup: authenticate via API","api-setup","Sat Mar 28 00:05:35 UTC 2026","passed","Sat Mar 28 00:05:35 UTC 2026","","setup/api-auth.setup.ts","",""
"","387","SQ-XXX: should get current user with valid token","integration","Sat Mar 28 00:05:37 UTC 2026","passed","Sat Mar 28 00:05:37 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","320","SQ-XXX: should be able to re-authenticate","integration","Sat Mar 28 00:05:37 UTC 2026","passed","Sat Mar 28 00:05:38 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
