"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","246","SQ-XXX: should be able to re-authenticate","integration","2026-07-21","passed","2026-07-21","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","332","SQ-XXX: should access user info via API with session token","e2e","2026-07-21","passed","2026-07-21","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","4","Global Setup: prepare environment","global-setup","2026-07-21","passed","2026-07-21","","setup/global.setup.ts","",""
"","3058","SQ-90: TC1: Should create client with valid data","e2e","2026-07-21","failed","2026-07-21","Create Client","e2e/clients/createClient.test.ts","",""
"","1236","SQ-XXX: should load dashboard with authenticated session","e2e","2026-07-21","passed","2026-07-21","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","212","SQ-XXX: should get current user with valid token","integration","2026-07-21","passed","2026-07-21","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","561","API Setup: authenticate via API","api-setup","2026-07-21","passed","2026-07-21","","setup/api-auth.setup.ts","",""
"","2633","UI Setup: authenticate via UI","ui-setup","2026-07-21","passed","2026-07-21","","setup/ui-auth.setup.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","2026-07-21","passed","2026-07-21","","teardown/global.teardown.ts","",""
"","74","SQ-XXX: should fail without token","integration","2026-07-21","passed","2026-07-21","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
