"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1440","SQ-XXX: should load dashboard with authenticated session","e2e","Sun May 10 00:16:30 UTC 2026","passed","Sun May 10 00:16:32 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3451","SQ-90: TC1: Should create client with valid data","e2e","Sun May 10 00:16:25 UTC 2026","failed","Sun May 10 00:16:29 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","312","SQ-XXX: should get current user with valid token","integration","Sun May 10 00:15:33 UTC 2026","passed","Sun May 10 00:15:33 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","703","API Setup: authenticate via API","api-setup","Sun May 10 00:15:31 UTC 2026","passed","Sun May 10 00:15:32 UTC 2026","","setup/api-auth.setup.ts","",""
"","541","SQ-XXX: should access user info via API with session token","e2e","Sun May 10 00:16:32 UTC 2026","passed","Sun May 10 00:16:32 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3055","UI Setup: authenticate via UI","ui-setup","Sun May 10 00:16:20 UTC 2026","passed","Sun May 10 00:16:23 UTC 2026","","setup/ui-auth.setup.ts","",""
"","422","SQ-XXX: should be able to re-authenticate","integration","Sun May 10 00:15:34 UTC 2026","passed","Sun May 10 00:15:34 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","256","SQ-XXX: should fail without token","integration","Sun May 10 00:15:33 UTC 2026","passed","Sun May 10 00:15:34 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","5","Global Setup: prepare environment","global-setup","Sun May 10 00:16:19 UTC 2026","passed","Sun May 10 00:16:19 UTC 2026","","setup/global.setup.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Sun May 10 00:16:33 UTC 2026","passed","Sun May 10 00:16:33 UTC 2026","","teardown/global.teardown.ts","",""
