"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Global Setup: prepare environment","global-setup","Wed Mar 25 01:51:08 UTC 2026","passed","Wed Mar 25 01:51:08 UTC 2026","","setup/global.setup.ts","",""
"","3317","UI Setup: authenticate via UI","ui-setup","Wed Mar 25 01:51:10 UTC 2026","passed","Wed Mar 25 01:51:13 UTC 2026","","setup/ui-auth.setup.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Wed Mar 25 01:51:21 UTC 2026","passed","Wed Mar 25 01:51:21 UTC 2026","","teardown/global.teardown.ts","",""
"","4392","SQ-90: TC1: Should create client with valid data","e2e","Wed Mar 25 01:51:15 UTC 2026","passed","Wed Mar 25 01:51:20 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
