"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","SQ-XXX: should be able to re-authenticate","smoke","Tue Apr 28 03:17:03 UTC 2026","passed","Tue Apr 28 03:17:03 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","104","SQ-XXX: should get current user with valid token","smoke","Tue Apr 28 03:17:03 UTC 2026","passed","Tue Apr 28 03:17:03 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3905","UI Setup: authenticate via UI","ui-setup","Tue Apr 28 03:16:49 UTC 2026","passed","Tue Apr 28 03:16:53 UTC 2026","","setup/ui-auth.setup.ts","",""
"","368","SQ-XXX: should access user info via API with session token","smoke","Tue Apr 28 03:17:03 UTC 2026","passed","Tue Apr 28 03:17:03 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","5","Global Setup: prepare environment","global-setup","Tue Apr 28 03:16:46 UTC 2026","passed","Tue Apr 28 03:16:46 UTC 2026","","setup/global.setup.ts","",""
"","3982","SQ-90: TC1: Should create client with valid data","smoke","Tue Apr 28 03:16:56 UTC 2026","failed","Tue Apr 28 03:17:00 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","1357","SQ-XXX: should load dashboard with authenticated session","smoke","Tue Apr 28 03:17:01 UTC 2026","passed","Tue Apr 28 03:17:02 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","848","API Setup: authenticate via API","api-setup","Tue Apr 28 03:16:47 UTC 2026","passed","Tue Apr 28 03:16:48 UTC 2026","","setup/api-auth.setup.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Tue Apr 28 03:17:05 UTC 2026","passed","Tue Apr 28 03:17:05 UTC 2026","","teardown/global.teardown.ts","",""
"","98","SQ-XXX: should fail without token","smoke","Tue Apr 28 03:17:03 UTC 2026","passed","Tue Apr 28 03:17:03 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
