"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2506","UI Setup: authenticate via UI","ui-setup","Thu May 28 03:21:14 UTC 2026","passed","Thu May 28 03:21:16 UTC 2026","","setup/ui-auth.setup.ts","",""
"","37","SQ-XXX: should fail without token","smoke","Thu May 28 03:21:24 UTC 2026","passed","Thu May 28 03:21:24 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","45","SQ-XXX: should get current user with valid token","smoke","Thu May 28 03:21:24 UTC 2026","passed","Thu May 28 03:21:24 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3","Global Teardown: generate reports and sync TMS","global-teardown","Thu May 28 03:21:25 UTC 2026","passed","Thu May 28 03:21:25 UTC 2026","","teardown/global.teardown.ts","",""
"","3","Global Setup: prepare environment","global-setup","Thu May 28 03:21:11 UTC 2026","passed","Thu May 28 03:21:11 UTC 2026","","setup/global.setup.ts","",""
"","2758","SQ-90: TC1: Should create client with valid data","smoke","Thu May 28 03:21:18 UTC 2026","failed","Thu May 28 03:21:21 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","341","SQ-XXX: should access user info via API with session token","smoke","Thu May 28 03:21:24 UTC 2026","passed","Thu May 28 03:21:24 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","165","SQ-XXX: should be able to re-authenticate","smoke","Thu May 28 03:21:24 UTC 2026","passed","Thu May 28 03:21:24 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","1548","SQ-XXX: should load dashboard with authenticated session","smoke","Thu May 28 03:21:22 UTC 2026","passed","Thu May 28 03:21:24 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","436","API Setup: authenticate via API","api-setup","Thu May 28 03:21:12 UTC 2026","passed","Thu May 28 03:21:13 UTC 2026","","setup/api-auth.setup.ts","",""
