"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","379","SQ-XXX: should access user info via API with session token","e2e","Tue May 12 00:19:37 UTC 2026","passed","Tue May 12 00:19:38 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","82","SQ-XXX: should fail without token","integration","Tue May 12 00:18:29 UTC 2026","passed","Tue May 12 00:18:29 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3411","SQ-90: TC1: Should create client with valid data","e2e","Tue May 12 00:19:31 UTC 2026","failed","Tue May 12 00:19:34 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","3266","UI Setup: authenticate via UI","ui-setup","Tue May 12 00:19:25 UTC 2026","passed","Tue May 12 00:19:28 UTC 2026","","setup/ui-auth.setup.ts","",""
"","505","SQ-XXX: should be able to re-authenticate","integration","Tue May 12 00:18:29 UTC 2026","passed","Tue May 12 00:18:30 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","635","API Setup: authenticate via API","api-setup","Tue May 12 00:18:27 UTC 2026","passed","Tue May 12 00:18:28 UTC 2026","","setup/api-auth.setup.ts","",""
"","5","Global Setup: prepare environment","global-setup","Tue May 12 00:19:23 UTC 2026","passed","Tue May 12 00:19:23 UTC 2026","","setup/global.setup.ts","",""
"","320","SQ-XXX: should get current user with valid token","integration","Tue May 12 00:18:29 UTC 2026","passed","Tue May 12 00:18:29 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","1501","SQ-XXX: should load dashboard with authenticated session","e2e","Tue May 12 00:19:36 UTC 2026","passed","Tue May 12 00:19:37 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","5","Global Teardown: generate reports and sync TMS","global-teardown","Tue May 12 00:19:39 UTC 2026","passed","Tue May 12 00:19:39 UTC 2026","","teardown/global.teardown.ts","",""
