"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","218","SQ-XXX: should get current user with valid token","integration","Mon Apr 13 00:09:00 UTC 2026","passed","Mon Apr 13 00:09:01 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","106","SQ-XXX: should fail without token","integration","Mon Apr 13 00:09:01 UTC 2026","passed","Mon Apr 13 00:09:01 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","1636","SQ-XXX: should load dashboard with authenticated session","e2e","Mon Apr 13 00:09:55 UTC 2026","passed","Mon Apr 13 00:09:57 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","5","Global Setup: prepare environment","global-setup","Mon Apr 13 00:09:44 UTC 2026","passed","Mon Apr 13 00:09:44 UTC 2026","","setup/global.setup.ts","",""
"","3416","SQ-90: TC1: Should create client with valid data","e2e","Mon Apr 13 00:09:50 UTC 2026","failed","Mon Apr 13 00:09:54 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","502","SQ-XXX: should access user info via API with session token","e2e","Mon Apr 13 00:09:57 UTC 2026","passed","Mon Apr 13 00:09:57 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","227","SQ-XXX: should be able to re-authenticate","integration","Mon Apr 13 00:09:01 UTC 2026","passed","Mon Apr 13 00:09:01 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","487","API Setup: authenticate via API","api-setup","Mon Apr 13 00:08:59 UTC 2026","passed","Mon Apr 13 00:08:59 UTC 2026","","setup/api-auth.setup.ts","",""
"","3515","UI Setup: authenticate via UI","ui-setup","Mon Apr 13 00:09:45 UTC 2026","passed","Mon Apr 13 00:09:49 UTC 2026","","setup/ui-auth.setup.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Mon Apr 13 00:09:58 UTC 2026","passed","Mon Apr 13 00:09:58 UTC 2026","","teardown/global.teardown.ts","",""
