"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","404","SQ-XXX: should get current user with valid token","integration","Mon Apr 06 00:07:09 UTC 2026","passed","Mon Apr 06 00:07:09 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","115","SQ-XXX: should fail without token","integration","Mon Apr 06 00:07:09 UTC 2026","passed","Mon Apr 06 00:07:09 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","717","API Setup: authenticate via API","api-setup","Mon Apr 06 00:07:07 UTC 2026","passed","Mon Apr 06 00:07:07 UTC 2026","","setup/api-auth.setup.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Mon Apr 06 00:08:03 UTC 2026","passed","Mon Apr 06 00:08:03 UTC 2026","","teardown/global.teardown.ts","",""
"","4","Global Setup: prepare environment","global-setup","Mon Apr 06 00:07:51 UTC 2026","passed","Mon Apr 06 00:07:51 UTC 2026","","setup/global.setup.ts","",""
"","2956","SQ-90: TC1: Should create client with valid data","e2e","Mon Apr 06 00:07:56 UTC 2026","failed","Mon Apr 06 00:07:59 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","1132","SQ-XXX: should load dashboard with authenticated session","e2e","Mon Apr 06 00:08:01 UTC 2026","passed","Mon Apr 06 00:08:02 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","342","SQ-XXX: should be able to re-authenticate","integration","Mon Apr 06 00:07:09 UTC 2026","passed","Mon Apr 06 00:07:10 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","302","SQ-XXX: should access user info via API with session token","e2e","Mon Apr 06 00:08:02 UTC 2026","passed","Mon Apr 06 00:08:02 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","2379","UI Setup: authenticate via UI","ui-setup","Mon Apr 06 00:07:53 UTC 2026","passed","Mon Apr 06 00:07:55 UTC 2026","","setup/ui-auth.setup.ts","",""
