"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","Global Setup: prepare environment","global-setup","Wed May 20 00:22:41 UTC 2026","passed","Wed May 20 00:22:41 UTC 2026","","setup/global.setup.ts","",""
"","264","SQ-XXX: should be able to re-authenticate","integration","Wed May 20 00:22:01 UTC 2026","passed","Wed May 20 00:22:02 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","5","Global Teardown: generate reports and sync TMS","global-teardown","Wed May 20 00:22:58 UTC 2026","passed","Wed May 20 00:22:58 UTC 2026","","teardown/global.teardown.ts","",""
"","567","SQ-XXX: should access user info via API with session token","e2e","Wed May 20 00:22:57 UTC 2026","passed","Wed May 20 00:22:57 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3690","UI Setup: authenticate via UI","ui-setup","Wed May 20 00:22:42 UTC 2026","passed","Wed May 20 00:22:46 UTC 2026","","setup/ui-auth.setup.ts","",""
"","178","SQ-XXX: should get current user with valid token","integration","Wed May 20 00:22:01 UTC 2026","passed","Wed May 20 00:22:01 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","1928","SQ-XXX: should load dashboard with authenticated session","e2e","Wed May 20 00:22:55 UTC 2026","passed","Wed May 20 00:22:57 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3537","SQ-90: TC1: Should create client with valid data","e2e","Wed May 20 00:22:50 UTC 2026","failed","Wed May 20 00:22:53 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","585","API Setup: authenticate via API","api-setup","Wed May 20 00:21:59 UTC 2026","passed","Wed May 20 00:22:00 UTC 2026","","setup/api-auth.setup.ts","",""
"","83","SQ-XXX: should fail without token","integration","Wed May 20 00:22:01 UTC 2026","passed","Wed May 20 00:22:01 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
