"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","514","API Setup: authenticate via API","api-setup","Sat May 23 00:19:51 UTC 2026","passed","Sat May 23 00:19:51 UTC 2026","","setup/api-auth.setup.ts","",""
"","4","Global Setup: prepare environment","global-setup","Sat May 23 00:20:37 UTC 2026","passed","Sat May 23 00:20:37 UTC 2026","","setup/global.setup.ts","",""
"","2604","UI Setup: authenticate via UI","ui-setup","Sat May 23 00:20:39 UTC 2026","passed","Sat May 23 00:20:41 UTC 2026","","setup/ui-auth.setup.ts","",""
"","2843","SQ-90: TC1: Should create client with valid data","e2e","Sat May 23 00:20:43 UTC 2026","failed","Sat May 23 00:20:46 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","217","SQ-XXX: should be able to re-authenticate","integration","Sat May 23 00:19:53 UTC 2026","passed","Sat May 23 00:19:53 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","328","SQ-XXX: should access user info via API with session token","e2e","Sat May 23 00:20:48 UTC 2026","passed","Sat May 23 00:20:49 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","184","SQ-XXX: should get current user with valid token","integration","Sat May 23 00:19:53 UTC 2026","passed","Sat May 23 00:19:53 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","1171","SQ-XXX: should load dashboard with authenticated session","e2e","Sat May 23 00:20:47 UTC 2026","passed","Sat May 23 00:20:48 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","86","SQ-XXX: should fail without token","integration","Sat May 23 00:19:53 UTC 2026","passed","Sat May 23 00:19:53 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3","Global Teardown: generate reports and sync TMS","global-teardown","Sat May 23 00:20:50 UTC 2026","passed","Sat May 23 00:20:50 UTC 2026","","teardown/global.teardown.ts","",""
