"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","124","SQ-XXX: should get current user with valid token","smoke","Tue Apr 14 03:14:13 UTC 2026","passed","Tue Apr 14 03:14:13 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3704","UI Setup: authenticate via UI","ui-setup","Tue Apr 14 03:14:00 UTC 2026","passed","Tue Apr 14 03:14:04 UTC 2026","","setup/ui-auth.setup.ts","",""
"","355","SQ-XXX: should access user info via API with session token","smoke","Tue Apr 14 03:14:13 UTC 2026","passed","Tue Apr 14 03:14:13 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Tue Apr 14 03:14:15 UTC 2026","passed","Tue Apr 14 03:14:15 UTC 2026","","teardown/global.teardown.ts","",""
"","104","SQ-XXX: should fail without token","smoke","Tue Apr 14 03:14:13 UTC 2026","passed","Tue Apr 14 03:14:13 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","3484","SQ-90: TC1: Should create client with valid data","smoke","Tue Apr 14 03:14:06 UTC 2026","failed","Tue Apr 14 03:14:10 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","1295","SQ-XXX: should load dashboard with authenticated session","smoke","Tue Apr 14 03:14:11 UTC 2026","passed","Tue Apr 14 03:14:13 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","5","Global Setup: prepare environment","global-setup","Tue Apr 14 03:13:57 UTC 2026","passed","Tue Apr 14 03:13:57 UTC 2026","","setup/global.setup.ts","",""
"","721","API Setup: authenticate via API","api-setup","Tue Apr 14 03:13:58 UTC 2026","passed","Tue Apr 14 03:13:59 UTC 2026","","setup/api-auth.setup.ts","",""
"","306","SQ-XXX: should be able to re-authenticate","smoke","Tue Apr 14 03:14:13 UTC 2026","passed","Tue Apr 14 03:14:14 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
