"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1409","SQ-XXX: should load dashboard with authenticated session","e2e","Thu May 14 00:22:18 UTC 2026","passed","Thu May 14 00:22:19 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3276","UI Setup: authenticate via UI","ui-setup","Thu May 14 00:22:08 UTC 2026","passed","Thu May 14 00:22:11 UTC 2026","","setup/ui-auth.setup.ts","",""
"","233","SQ-XXX: should get current user with valid token","integration","Thu May 14 00:21:19 UTC 2026","passed","Thu May 14 00:21:20 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","522","SQ-XXX: should access user info via API with session token","e2e","Thu May 14 00:22:19 UTC 2026","passed","Thu May 14 00:22:20 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","589","API Setup: authenticate via API","api-setup","Thu May 14 00:21:18 UTC 2026","passed","Thu May 14 00:21:18 UTC 2026","","setup/api-auth.setup.ts","",""
"","217","SQ-XXX: should be able to re-authenticate","integration","Thu May 14 00:21:20 UTC 2026","passed","Thu May 14 00:21:20 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Thu May 14 00:22:21 UTC 2026","passed","Thu May 14 00:22:21 UTC 2026","","teardown/global.teardown.ts","",""
"","3477","SQ-90: TC1: Should create client with valid data","e2e","Thu May 14 00:22:13 UTC 2026","failed","Thu May 14 00:22:17 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","3","Global Setup: prepare environment","global-setup","Thu May 14 00:22:07 UTC 2026","passed","Thu May 14 00:22:07 UTC 2026","","setup/global.setup.ts","",""
"","115","SQ-XXX: should fail without token","integration","Thu May 14 00:21:20 UTC 2026","passed","Thu May 14 00:21:20 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
